Judge ID,Race or Ethnicity,Gender,Court Type
3151,White,Male,U.S. District Court
1800,White,Female,U.S. District Court
3135,White,Male,U.S. District Court
3379,White,Male,U.S. District Court
4947641,White,Male,U.S. Court of Appeals
3454,Hispanic,Male,U.S. District Court
3591,Hispanic,Male,U.S. District Court
3474,White,Male,U.S. District Court
3156,White,Male,U.S. District Court
5019306,Asian American,Female,U.S. District Court
2988,Hispanic,Male,U.S. District Court
3087,White,Female,U.S. Court of Appeals
3520,White,Male,U.S. Court of Appeals
3145,White,Male,U.S. District Court
6840716,Asian American,Female,U.S. District Court
3951691,White,Male,U.S. District Court
2802,White,Female,U.S. District Court
3573,White,Male,U.S. District Court
6420566,Asian American,Male,U.S. Court of Appeals
3515,African American,Female,U.S. District Court
4028131,White,Male,U.S. District Court
3590,White,Female,U.S. District Court
2803,White,Male,U.S. District Court
3347,African American,Female,U.S. District Court
2833,White,Female,U.S. District Court
3566,White,Female,U.S. District Court
1869,White,Female,U.S. District Court
3532,White,Male,U.S. District Court
3230,White,Female,U.S. District Court
3484,White,Male,U.S. Court of Appeals
1880,White,Male,U.S. District Court
3414,White,Female,U.S. District Court
2847,White,Female,U.S. District Court
5374591,White,Male,U.S. District Court
3497,White,Female,U.S. Court of Appeals
7465646,White,Female,U.S. District Court
3586,White,Male,U.S. District Court
6840196,White,Male,U.S. District Court
2785,White,Male,U.S. District Court
5373046,White,Male,U.S. Court of Appeals
3282,African American,Female,U.S. District Court
1933,White,Male,U.S. District Court
3025,White,Male,U.S. District Court
2892,White,Female,U.S. Court of Appeals
3560,White,Female,U.S. Court of Appeals
3050,White,Male,U.S. Court of Appeals
6840711,African American,Male,U.S. District Court
4263096,White,Male,U.S. District Court
3480,Hispanic,Female,U.S. District Court
1954,White,Female,U.S. District Court
3405,Hispanic,Male,U.S. District Court
3383,Hispanic,Female,U.S. District Court
6731086,Asian American,Male,U.S. District Court
6135386,Asian American,Female,U.S. Court of Appeals
2767,African American,Female,U.S. District Court
5373556,White,Male,U.S. District Court
3538,White,Male,U.S. District Court
6103361,White,Male,U.S. Court of Appeals
2886,White,Male,U.S. District Court
3346,African American,Male,U.S. District Court
2907,White,Male,U.S. District Court
3508,White,Female,U.S. District Court
3157,White,Male,U.S. District Court
3226,White,Female,U.S. District Court
3482,Hispanic,Male,U.S. District Court
3366,Hispanic,Male,U.S. Court of Appeals
3415,White,Male,U.S. District Court
5374576,White,Male,U.S. District Court
5090921,White,Male,U.S. Court of Appeals
7545461,White,Female,U.S. District Court
3001,White,Male,U.S. Court of Appeals
2777,African American,Male,U.S. District Court
2776,African American,Female,U.S. District Court
2908,African American,Female,U.S. District Court
3028,African American,Male,U.S. District Court
2032,White,Female,U.S. District Court
3043,White,Female,U.S. District Court
4733056,Hispanic,Male,U.S. District Court
3020,Hispanic,Male,U.S. District Court
3404,Hispanic,Female,U.S. District Court
3473,Hispanic,Male,U.S. District Court
3442,White,Female,U.S. District Court
2047,White,Male,U.S. District Court
3437,White,Female,U.S. District Court
3557,White,Female,U.S. District Court
3533,White,Female,U.S. District Court
2054,White,Female,U.S. District Court
3565,African American,Female,U.S. District Court
3385,White,Male,U.S. District Court
3607,White,Male,U.S. District Court
6840191,White,Female,U.S. District Court
7330446,White,Male,U.S. District Court
6384996,Hispanic,Male,U.S. District Court
6098356,White,Female,U.S. Court of Appeals
3429,African American,Male,U.S. District Court
3035,Asian American,Male,U.S. District Court
3377,Hispanic,Female,U.S. District Court
3354,Hispanic,Female,U.S. District Court
3158,White,Female,U.S. District Court
3068,Hispanic,Male,U.S. District Court
3091,Hispanic,Male,U.S. District Court
3567,White,Female,U.S. District Court
2099,White,Male,U.S. District Court
2100,White,Female,U.S. District Court
