Court Type,Gender,Race or Ethnicity,Name
U.S. District Court,Male,White,Marion Boyd 
U.S. District Court,Male,White,Christopher Boyko 
U.S. District Court,Male,White,Edward BoyleSr.
U.S. District Court,Male,White,Francis Boyle 
U.S. District Court,Female,White,Jane Boyle 
U.S. District Court,Male,White,John Boyle 
U.S. District Court,Female,White,Patricia Boyle 
U.S. District Court,Male,White,Terrence Boyle 
U.S. District Court,Male,White,Charles Boynton 
U.S. District Court,Male,White,Thomas Boynton 
U.S. District Court,Male,White,Robert Brack 
U.S. District Court,Male,White,Edward Bradford 
U.S. District Court,Male,White,Edward BradfordII
U.S. District Court,Male,White,Andrew Bradley 
Supreme Court,Male,White,Joseph Bradley 
U.S. District Court,Female,White,Holly Brady
U.S. District Court,Male,White,James Brady 
U.S. District Court,Male,White,David Bramlette 
U.S. District Court,Male,African American,Henry Bramwell 
U.S. Court of Appeals,Female,White,Elizabeth Branch
Supreme Court,Male,White,Louis Brandeis 
U.S. District Court,Male,White,Matthew Brann 
U.S. District Court,Female,White,Nancy Brasel
U.S. District Court,Male,White,Andrew Brasher
U.S. District Court,Male,White,Clifton Bratcher 
U.S. District Court,Male,White,Howard Bratton 
U.S. Court of Appeals,Male,White,Sam Bratton 
U.S. District Court,Male,White,William Brawley 
U.S. District Court,Male,White,David Brearley 
U.S. District Court,Male,White,James Bredar 
U.S. District Court,Male,White,J. Breen 
U.S. District Court,Male,White,Jean Breitenstein 
U.S. Court of Appeals,Male,White,Michael Brennan
U.S. District Court,Male,White,Stephen Brennan 
Supreme Court,Male,White,William BrennanJr.
U.S. Court of Appeals,Male,White,Daniel Bress
U.S. District Court,Male,White,Thomas Brett 
U.S. District Court,Male,White,Elisha Brewster 
U.S. District Court,Male,White,Leo Brewster 
U.S. District Court,Male,White,Rudi Brewster 
U.S. District Court,Male,White,Charles Breyer 
U.S. Court of Appeals,Male,White,Stephen Breyer 
U.S. District Court,Male,White,Vincent Briccetti 
U.S. District Court,Male,White,Charles BrieantJr.
U.S. District Court,Male,White,Charles Briggle 
U.S. District Court,Male,White,John Bright 
U.S. Court of Appeals,Male,White,Myron Bright 
U.S. District Court,Male,White,Clarence BrimmerJr.
U.S. District Court,Male,White,Philip Brimmer 
U.S. District Court,Female,White,Leonie Brinkema 
U.S. District Court,Male,Hispanic,David Briones 
U.S. Court of Appeals,Female,White,Mary Briscoe 
U.S. District Court,Male,White,William Bristol 
U.S. District Court,Male,White,William Britt 
U.S. District Court,Female,White,Susan Brnovich
U.S. District Court,Male,White,Bower Broaddus 
U.S. District Court,Male,White,W. Broadwater 
U.S. District Court,Male,White,John Brockenbrough 
U.S. District Court,Male,White,Raymond Broderick 
U.S. District Court,Male,African American/Hispanic,Vernon Broderick 
U.S. District Court,Male,White,Vincent Broderick 
U.S. District Court,Female,African American,Margo Brodie 
U.S. District Court,Female,White,Anita Brody 
U.S. District Court,Male,White,Morton Brody 
U.S. District Court,Male,White,Isaac Bronson 
U.S. District Court,Male,White,Gene Brooks 
U.S. District Court,Male,White,George Brooks 
U.S. District Court,Male,White,Henry Brooks 
U.S. District Court,Male,White,Timothy Brooks 
U.S. District Court,Male,White,John Broomes
U.S. District Court,Male,White,Robert Broomfield 
U.S. Court of Appeals,Male,White,Wade Brorby 
U.S. District Court,Male,White,Stanley Brotman 
U.S. District Court,Female,African American,Ada Brown
U.S. District Court,Male,White,Addison Brown 
U.S. District Court,Female,White,Anna Brown 
U.S. District Court,Male,White,Arthur Brown 
U.S. District Court,Male,White,Bailey Brown 
U.S. District Court,Female,African American,Debra Brown 
U.S. District Court,Male,White,Garrett BrownJr.
U.S. District Court,Male,White,Gary Brown
U.S. District Court,Male,White,Henry Brown 
U.S. Court of Appeals,Female,African American,Janice Brown 
U.S. District Court,Male,White,Jeffrey Brown
U.S. Court of Appeals,Male,White,John Brown 
U.S. District Court,Male,White,Michael Brown
U.S. District Court,Male,White,Morgan Brown 
U.S. District Court,Female,African American,Nannette Brown 
U.S. District Court,Male,White,Paul Brown 
U.S. District Court,Male,White,Robert BrownSr.
U.S. District Court,Male,White,Wesley Brown 
U.S. District Court,Male,White,James Browning 
U.S. Court of Appeals,Male,White,James Browning 
U.S. District Court,Male,White,William Browning 
U.S. District Court,Male,White,Colin Bruce 
U.S. District Court,Male,White,John Bruce 
U.S. District Court,Male,White,Walter Bruchhausen 
U.S. Court of Appeals,Male,White,Melvin Brunetti 
U.S. District Court,Male,White,Albert Bryan 
U.S. District Court,Male,White,Albert BryanJr.
U.S. District Court,Male,White,Frederick Bryan 
U.S. District Court,Male,White,George Bryan 
U.S. Court of Appeals,Male,White,Nathan Bryan 
U.S. District Court,Male,White,Robert Bryan 
U.S. District Court,Male,White,David Bryant 
U.S. District Court,Male,White,Frederick Bryant 
U.S. District Court,Male,White,Randolph Bryant 
U.S. District Court,Female,African American,Vanessa Bryant 
U.S. District Court,Male,African American,William Bryant 
U.S. Court of Appeals,Male,White,William Bryson 
U.S. District Court,Male,White,Nicholas Bua 
U.S. District Court,Male,White,Jerry Buchmeyer 
U.S. District Court,Female,White,Naomi Buchwald 
U.S. District Court,Female,White,Susan Bucklew 
U.S. Court of Appeals,Male,White,James Buckley 
U.S. District Court,Female,White,Elaine Bucklo 
U.S. District Court,Male,White,Ronald Buckwalter 
U.S. District Court,Male,White,Carl BueJr.
U.S. District Court,Male,White,Brian Buescher
U.S. District Court,Male,White,Joseph Buffington 
U.S. District Court,Male,White,Frank BullockJr.
U.S. District Court,Male,White,Jonathan Bullock 
U.S. Court of Appeals,Male,Asian American,Patrick Bumatay
U.S. District Court,Female,White,Renee Bumb 
U.S. District Court,Male,White,Romanzo Bunn 
U.S. District Court,Male,White,David Bunning 
U.S. District Court,Male,White,Lucius BuntonIII
U.S. District Court,Male,Hispanic,Juan Burciaga 
U.S. Court of Appeals,Male,White,Warren Burger 
U.S. District Court,Male,African American,Franklin Burgess 
U.S. District Court,Male,White,Timothy Burgess 
U.S. District Court,Male,White,Harold Burke 
U.S. District Court,Male,White,Liles Burke
U.S. District Court,Male,White,Lloyd Burke 
U.S. District Court,Female,White,Ellen Burns 
U.S. District Court,Male,White,James Burns 
U.S. District Court,Male,White,Larry Burns 
U.S. District Court,Male,White,Louis Burns 
U.S. District Court,Male,White,Owen Burns 
U.S. District Court,Male,White,Waller Burns 
U.S. District Court,Male,American Indian,Billy Burrage 
U.S. District Court,Male,African American,Garland BurrellJr.
U.S. District Court,Female,White,Allison Burroughs 
U.S. District Court,Male,White,Warren Burrows 
Supreme Court,Male,White,Harold Burton 
U.S. District Court,Male,White,David Bury 
U.S. Court of Appeals,Male,White,John Bush
U.S. District Court,Male,White,Richard Busteed 
U.S. District Court,Male,White,Algernon Butler 
U.S. District Court,Male,White,Charles ButlerJr.
Supreme Court,Male,White,Pierce Butler 
U.S. District Court,Male,White,William Butler 
U.S. District Court,Male,White,H. ButtramJr.
U.S. District Court,Male,White,John ButznerJr.
U.S. Court of Appeals,Male,White,Jay Bybee 
U.S. Court of Appeals,Male,White,Kermit Bye 
U.S. District Court,Male,White,Mortimer Byers 
U.S. District Court,Male,White,Charles Byrd 
U.S. District Court,Male,White,William ByrneJr.
U.S. District Court,Male,White,William ByrneSr.
Supreme Court,Male,White,James Byrnes 
U.S. District Court,Male,White,Paul Byron 
U.S. District Court,Male,White,Ted Cabot 
U.S. District Court,Male,Hispanic,Jos‚ Cabranes 
U.S. District Court,Male,White,James Cacheris 
U.S. District Court,Male,White,John Cadwalader 
U.S. District Court,Male,White,Francis Caffey 
U.S. District Court,Male,White,Andrew Caffrey 
U.S. District Court,Male,African American,Clyde CahillJr.
U.S. District Court,Male,White,Edward Cahn 
U.S. District Court,Male,White,Adrian Caillouet 
U.S. District Court,Male,White,James CainJr.
U.S. District Court,Male,White,Timothy Cain 
U.S. Court of Appeals,Male,White,Guido Calabresi 
U.S. District Court,Male,White,Alexander Caldwell 
U.S. District Court,Male,White,Henry Caldwell 
U.S. District Court,Female,White,Karen Caldwell 
U.S. District Court,Male,White,William Caldwell 
U.S. District Court,Male,White,Rhydon Call 
U.S. Court of Appeals,Female,Hispanic,Consuelo Callahan 
U.S. District Court,Male,White,Marion Callister 
U.S. District Court,Male,White,William Cambridge 
U.S. Court of Appeals,Male,White,Benjamin Cameron 
U.S. District Court,Male,White,Jack CampJr.
U.S. District Court,Male,White,David Campbell 
Supreme Court,Male,White,John Campbell 
U.S. District Court,Male,White,John Campbell 
U.S. District Court,Male,White,Levin Campbell 
U.S. District Court,Male,White,Marcus Campbell 
U.S. District Court,Male,White,Ralph Campbell 
U.S. District Court,Female,White,Tena Campbell 
U.S. District Court,Male,White,Todd Campbell 
U.S. District Court,Male,White,William Campbell 
U.S. District Court,Male,White,William CampbellJr.
U.S. District Court,Male,Hispanic,Santiago Campos 
U.S. Court of Appeals,Male,White,William CanbyJr.
U.S. District Court,Male,Hispanic,Hiram Cancio 
U.S. District Court,Male,White,John Cannella 
U.S. District Court,Male,White,William Cant 
U.S. District Court,Female,White,Valerie Caproni 
U.S. District Court,Male,White,A. Caputo 
U.S. Court of Appeals,Male,White,Richard Cardamone 
U.S. District Court,Female,Hispanic,Kathleen Cardone 
Supreme Court,Male,White,Benjamin Cardozo 
U.S. District Court,Male,White,John Carland 
U.S. Court of Appeals,Male,White,Edward Carnes 
U.S. District Court,Female,White,Julie Carnes 
U.S. District Court,Male,White,Cormac Carney 
U.S. Court of Appeals,Female,White,Susan Carney 
U.S. District Court,Male,White,George Carpenter 
U.S. District Court,Male,White,George Carpenter 
U.S. District Court,Male,White,Charles Carr 
U.S. District Court,Male,White,George Carr 
U.S. District Court,Male,White,James Carr 
U.S. District Court,Male,White,Patrick Carr 
U.S. District Court,Male,White,James Carrigan 
U.S. District Court,Male,White,Earl Carroll 
U.S. Court of Appeals,Male,White,Joel CarsonIII
U.S. District Court,Male,White,George Carswell 
U.S. District Court,Male,African American,Andrew CarterJr.
U.S. District Court,Male,White,David Carter 
U.S. District Court,Male,White,Gene Carter 
U.S. District Court,Male,White,James Carter 
U.S. District Court,Male,White,Oliver Carter 
U.S. District Court,Male,African American,Robert Carter 
U.S. District Court,Male,White,David Cartter 
U.S. District Court,Male,Hispanic,Salvador Casellas 
U.S. District Court,Male,White,Richard Casey 
U.S. District Court,Male,White,John Cashin 
U.S. District Court,Female,African American,Denise Casper 
U.S. District Court,Male,White,Paul Cassell 
U.S. District Court,Male,White,Fred Cassibry 
U.S. District Court,Male,White,William Castagna 
U.S. District Court,Male,White,P. Castel 
U.S. District Court,Male,Hispanic,Rub‚n Castillo 
U.S. Court of Appeals,Male,White,Latham Castle 
Supreme Court,Male,White,John Catron 
U.S. District Court,Female,White,Barbara Caulfield 
U.S. District Court,Female,White,Robin Cauthron 
U.S. District Court,Male,White,Charles Cavanah 
U.S. District Court,Male,White,Dennis Cavanaugh 
U.S. District Court,Male,White,Richard Cebull 
U.S. District Court,Female,White,Claire Cecchi 
U.S. District Court,Male,White,Lamar Cecil 
U.S. District Court,Male,White,Lester Cecil 
U.S. District Court,Female,White,Miriam Cedarbaum 
U.S. Court of Appeals,Male,White,Anthony Celebrezze 
U.S. District Court,Male,White,David Cercone 
U.S. District Court,Female,Hispanic,Carmen Cerezo 
U.S. Court of Appeals,Male,White,Michael Chagares 
U.S. Court of Appeals,Male,White,Richard Chambers 
U.S. District Court,Male,White,Robert Chambers 
U.S. District Court,Male,White,Stephen ChandlerJr.
U.S. District Court,Male,Asian American,Edmond Chang 
U.S. District Court,Male,White,Robert Chapman 
U.S. District Court,Female,White,Sheri Chappell 
U.S. District Court,Female,White,Deborah Chasanow 
U.S. Court of Appeals,Male,White,Harrie Chase 
Supreme Court,Male,White,Salmon Chase 
Supreme Court,Male,White,Samuel Chase 
U.S. District Court,Male,White,Thomas Chatfield 
U.S. District Court,Male,White,Robert Chatigny 
U.S. District Court,Male,Asian American,Edward Chen 
U.S. District Court,Female,Asian American,Pamela Chen 
U.S. Court of Appeals,Male,Asian American,Raymond Chen 
U.S. District Court,Male,White,John Cheney 
U.S. Court of Appeals,Male,White,Michael Chertoff 
U.S. District Court,Male,White,Stanley Chesler 
U.S. District Court,Female,White,Maxine Chesney 
U.S. District Court,Male,White,William Chesnut 
U.S. District Court,Male,Asian American,Vince Chhabria 
U.S. District Court,Female,African American,Julianna Childs 
U.S. District Court,Male,White,Olin Chilson 
U.S. District Court,Male,Asian American,Denny Chin 
U.S. District Court,Male,White,Nathaniel Chipman 
U.S. District Court,Male,White,Emett Choate 
U.S. District Court,Male,White,William Choate 
U.S. District Court,Male,White,Con. Cholakis 
U.S. Court of Appeals,Male,Asian American,Herbert Choy 
U.S. Court of Appeals,Female,White,Morgan Christen 
U.S. District Court,Male,White,Herbert Christenberry 
U.S. District Court,Male,White,Albert Christensen 
U.S. District Court,Male,White,Dana Christensen 
U.S. District Court,Male,White,Sidney Christie 
U.S. District Court,Male,Asian American,Theodore Chuang 
U.S. District Court,Male,White,James Churchill 
U.S. District Court,Female,African American,Tanya Chutkan 
U.S. District Court,Male,White,Robert Cindrich 
U.S. District Court,Male,White,George Cire 
U.S. District Court,Male,White,Harry Clabaugh 
U.S. District Court,Male,White,Harry Claiborne 
U.S. District Court,Male,White,John Clancy 
U.S. District Court,Male,White,T. Clarie 
U.S. Court of Appeals,Male,White,Bennett Clark 
