name,children__name,children__children__name,children__children__size,children__children__children__name,children__children__children__children__size,children__children__children__size
,,,,,,William CanbyJr.
,,,,,,William Denman 
,,,,,,William Fletcher 
,,,,,,William Garwood 
,,,,,,William Healy 
,,,,,,William HollowayJr.
,,,,,,William Hutchinson 
,,,,,,William KayattaJr.
,,,,,,William Kenyon 
,,,,,,William Mulligan 
,,,,,,William Nardini
,,,,,,William Norris 
,,,,,,William Orr 
,,,,,,William PryorJr.
,,,,,,William Riley 
,,,,,,William Sparks 
,U.S. District Court,,Female,,African American,Ada Brown
,,,,,,Andrea Wood 
,,,,,,Ann Williams 
,,,,,,Anna Taylor 
,,,,,,Anne Thompson 
,,,,,,Arenda Allen 
,,,,,,Audrey Collins 
,,,,,,Benita Pearson 
,,,,,,Bernice Donald 
,,,,,,Blanche Manning 
,,,,,,Carol Jackson 
,,,,,,Charlene Honeywell 
,,,,,,Constance Motley 
,,,,,,Consuelo Marshall 
,,,,,,Deborah Batts 
,,,,,,Debra Brown 
,,,,,,Denise Casper 
,,,,,,Denise Hood 
,,,,,,Eleanor Ross 
,,,,,,Gabrielle McDonald 
,,,,,,Irene Berger 
,,,,,,Johnnie Rawlinson 
,,,,,,Julianna Childs 
,,,,,,Julie Robinson 
,,,,,,Ketanji Jackson 
,,,,,,LaShann Hall 
,,,,,,Laura Swain 
,,,,,,Leslie Abrams 
,,,,,,Linda Parker 
,,,,,,Loretta Biggs 
,,,,,,Marcia Cooke 
,,,,,,Margaret Seymour 
,,,,,,Margo Brodie 
,,,,,,Mary Lowe 
,,,,,,Mary Scriven 
,,,,,,Nannette Brown 
,,,,,,Norma Johnson 
,,,,,,Petrese Tucker 
,,,,,,Phyllis Hamilton 
,,,,,,Sandra Townes 
,,,,,,Sara Ellis 
,,,,,,Saundra Armstrong 
,,,,,,Sharon Coleman 
,,,,,,Staci Yandle 
,,,,,,Stephanie Davis
,,,,,,Susan Wigenton 
,,,,,,Tanya Chutkan 
,,,,,,Tanya Pratt 
,,,,,,Vanessa Bryant 
,,,,,,Vanessa Gilmore 
,,,,,,Vicki Miles-LaGrange 
