jid,nid,last_name,first_name,middle_name,suffix,birth_month,birth_day,birth_year,birth_city,birth_state,gender,race_or_ethnicity,court_type
3228,1392976,Gee,Dolly,Maizie, ,,,1959,Hawthorne,CA,Female,Asian American,U.S. District Court
832,1381106,Gee,Thomas,Gibbs, ,12,9,1925,Jacksonville,FL,Male,White,U.S. Court of Appeals
833,1381111,Geiger,Ferdinand,August, ,10,15,1867,Cassville,WI,Male,White,U.S. District Court
3124,1392456,Gelp?,Gustavo,Antonio,Jr.,,,1965,San Juan,Puerto Rico,Male,Hispanic,U.S. District Court
834,1381116,George,Lloyd,D., ,,,1930,Montpelier,ID,Male,White,U.S. District Court
3452,1394091,Geraci,Frank,Paul,Jr.,,,1951,Rochester,NY,Male,White,U.S. District Court
3292,1393296,Gergel,Richard,Mark, ,,,1954,Columbia,SC,Male,White,U.S. District Court
3410,1393886,Gerrard,John,Melvin, ,,,1953,Schuyler,NE,Male,White,U.S. District Court
835,1381121,Gerry,John,Francis, ,11,17,1925,Camden,NJ,Male,White,U.S. District Court
836,1381126,Gershon,Nina, , ,,,1940,Chicago,IL,Female,White,U.S. District Court
837,1381131,Gertner,Nancy, , ,,,1946,New York,NY,Female,White,U.S. District Court
838,1381136,Gesell,Gerhard,Alden, ,6,16,1910,Los Angeles,CA,Male,White,U.S. District Court
839,1381141,Gettleman,Robert,William, ,,,1943,Atlantic City,NJ,Male,White,U.S. District Court
840,1381146,Getzendanner,Susan,Christine O'Meara, ,,,1939,Chicago,IL,Female,White,U.S. District Court
